arrival_time,job_size
1553,8
1599,9
1640,10
1678,11
1709,12
1753,10
1783,75
1822,9
1856,19
1897,9
1944,19
1972,9
2005,29
2042,8
2073,9
2122,27
2171,8
2211,9
2248,14
2285,9
2325,8
2361,10
2396,9
2429,16
2478,22
2513,8
2560,68
2600,51
2639,14
2678,183
2730,45
2772,8
2805,10
2849,9
2886,18
2927,28
2959,14
2982,41
3025,8
3058,137
3098,14
3129,31
3157,8
3191,29
3227,21
3258,10
3301,75
3340,39
3376,134
3414,8
3447,15
3487,13
3532,61
3562,10
3600,10
3639,38
3686,8
3721,22
3759,102
29,14
63,9
94,8
131,9
173,9
203,11
237,31
272,15
307,30
347,11
380,48
405,12
437,10
471,8
515,9
553,26
590,9
634,8
670,17
711,72
747,12
790,44
831,14
871,69
904,11
935,8
981,13
1024,36
1068,8
1101,9
1144,19
1188,14
1233,12
1266,159
1297,10
1333,9
1362,8
1398,10
1441,8
1476,18
1517,63
1553,8
1599,9
1640,10
1678,11
1709,12
1753,10
1783,75
1822,9
1856,19
1897,9
1944,19
1972,9
2005,29
2042,8
2073,9
2122,27
2171,8
2211,9
2248,14
2285,9
2325,8
2361,10
2396,9
2429,16
2478,22
2513,8
2560,68
2600,51
2639,14
2678,183
2730,45
2772,8
2805,10
2849,9
2886,18
2927,28
2959,14
2982,41
3025,8
3058,137
3098,14
3129,31
3157,8
3191,29
3227,21
3258,10
3301,75
3340,39
3376,134
3414,8
3447,15
3487,13
3532,61
3562,10
3600,10
3639,38
3686,8
3721,22
3759,102
29,14
63,9
94,8
131,9
173,9
203,11
237,31
272,15
307,30
347,11
380,48
405,12
437,10
471,8
515,9
553,26
590,9
634,8
670,17
711,72
747,12
790,44
831,14
871,69
904,11
935,8
981,13
1024,36
1068,8
1101,9
1144,19
1188,14
1233,12
1266,159
1297,10
1333,9
1362,8
1398,10
1441,8
1476,18
1517,63
1553,8
1599,9
1640,10
1678,11
1709,12
1753,10
1783,75
1822,9
1856,19
1897,9
1944,19
1972,9
2005,29
2042,8
2073,9
2122,27
2171,8
2211,9
2248,14
2285,9
2325,8
2361,10
2396,9
2429,16
2478,22
2513,8
2560,68
2600,51
2639,14
2678,183
2730,45
2772,8
2805,10
2849,9
2886,18
2927,28
2959,14
2982,41
3025,8
3058,137
3098,14
3129,31
3157,8
3191,29
3227,21
3258,10
3301,75
3340,39
3376,134
3414,8
3447,15
3487,13
3532,61
3562,10
3600,10
3639,38
3686,8
3721,22
3759,102
29,14
63,9
94,8
131,9
173,9
203,11
237,31
272,15
307,30
347,11
380,48
405,12
437,10
471,8
515,9
553,26
590,9
634,8
670,17
711,72
747,12
790,44
831,14
871,69
904,11
935,8
981,13
1024,36
1068,8
1101,9
1144,19
1188,14
1233,12
1266,159
1297,10
1333,9
1362,8
1398,10
1441,8
1476,18
1517,63
1553,8
1599,9
1640,10
1678,11
1709,12
1753,10
1783,75
1822,9
1856,19
1897,9
1944,19
1972,9
2005,29
2042,8
2073,9
2122,27
2171,8
2211,9
2248,14
2285,9
2325,8
2361,10
2396,9
2429,16
2478,22
2513,8
2560,68
2600,51
2639,14
2678,183
2730,45
2772,8
2805,10
2849,9
2886,18
2927,28
2959,14
2982,41
3025,8
3058,137
3098,14
3129,31
3157,8
3191,29
3227,21
3258,10
3301,75
3340,39
3376,134
3414,8
3447,15
3487,13
3532,61
3562,10
3600,10
3639,38
3686,8
3721,22
3759,102
29,14
63,9
94,8
131,9
173,9
203,11
237,31
272,15
307,30
347,11
380,48
405,12
437,10
471,8
515,9
553,26
590,9
634,8
670,17
711,72
747,12
790,44
831,14
871,69
904,11
935,8
981,13
1024,36
1068,8
1101,9
1144,19
1188,14
1233,12
1266,159
1297,10
1333,9
1362,8
1398,10
1441,8
1476,18
1517,63
1553,8
1599,9
1640,10
1678,11
1709,12
1753,10
1783,75
1822,9
1856,19
1897,9
1944,19
1972,9
2005,29
2042,8
2073,9
2122,27
2171,8
2211,9
2248,14
2285,9
2325,8
2361,10
2396,9
2429,16
2478,22
2513,8
2560,68
2600,51
2639,14
2678,183
2730,45
2772,8
2805,10
2849,9
2886,18
2927,28
2959,14
2982,41
3025,8
3058,137
3098,14
3129,31
3157,8
3191,29
3227,21
3258,10
3301,75
3340,39
3376,134
3414,8
3447,15
3487,13
3532,61
3562,10
3600,10
3639,38
3686,8
3721,22
3759,102
